fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:47:32,bitcoin,btc,Bitcoin,69315,1384935055016,77923714562,71604,67656,-0.1987316975830926,-1.7551044788476542,2026-02-07T19:47:29.468Z
2026-02-08T01:47:32,ethereum,eth,Ethereum,2092.07,252466268904,45016253831,2113.07,2001.54,-0.3176922544537322,1.4835228616061733,2026-02-07T19:47:29.744Z
2026-02-08T01:47:32,binancecoin,bnb,BNB,650.62,88704418544,1778633302,667.0,631.28,-0.5276077480662049,-0.8199082588747285,2026-02-07T19:47:29.358Z
2026-02-08T01:47:32,solana,sol,Solana,88.36,50150116680,6497659517,89.4,84.66,-0.26667871522393083,1.9484707685445184,2026-02-07T19:47:28.422Z
2026-02-08T01:48:32,bitcoin,btc,Bitcoin,69315,1384935055016,77923714562,71604,67656,-0.1987316975830926,-1.7551044788476542,2026-02-07T19:47:29.468Z
2026-02-08T01:48:32,ethereum,eth,Ethereum,2092.07,252466268904,45016253831,2113.07,2001.54,-0.3176922544537322,1.4835228616061733,2026-02-07T19:47:29.744Z
2026-02-08T01:48:32,binancecoin,bnb,BNB,650.62,88704418544,1778633302,667.0,631.28,-0.5276077480662049,-0.8199082588747285,2026-02-07T19:47:29.358Z
2026-02-08T01:48:32,solana,sol,Solana,88.36,50150116680,6497659517,89.4,84.66,-0.26667871522393083,1.9484707685445184,2026-02-07T19:47:28.422Z
2026-02-08T01:49:32,bitcoin,btc,Bitcoin,69393,1384935055016,78470646049,71604,67656,-0.0859230311137141,-1.6440550318849025,2026-02-07T19:49:26.639Z
2026-02-08T01:49:32,ethereum,eth,Ethereum,2093.95,252466268904,45179657736,2113.07,2001.54,-0.22799961565599536,1.5748362066300763,2026-02-07T19:49:26.240Z
2026-02-08T01:49:32,binancecoin,bnb,BNB,651.2,88704418544,1790789899,667.0,631.28,-0.4387663639488431,-0.7313279359560626,2026-02-07T19:49:25.992Z
2026-02-08T01:49:32,solana,sol,Solana,88.4,50126474542,6482013174,89.4,84.66,-0.22550639005895814,1.9905575609473196,2026-02-07T19:49:28.893Z
